"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMMENT";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SF_ID";"SPICEPREFIX";
"BT1";"3.7V-BAT";"6S-AA";"BAT_6S-AA";"";"Unavailable";"";" BATTERY HOLDER AA PC PIN ";"https://snapeda.com/shop?store=DigiKey&id=4389101";"";"";"";"MPD";"";"";"6S-AA";"";"";"";"None";"";"None";"";"";"";"";
"C1";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C2";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C3";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C4";"100uF";"CPOL-US153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"";"";"";"";"C";
"C5";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C6";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C7";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C8";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C9";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C10";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C11";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";
"CHARGING";"WS2812B5050";"WS2812B5050";"WS2812B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CHG+";"";"PINHD-1X1-BIGPOGO";"1X1-BIGPOGO";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CHG-";"";"PINHD-1X1-BIGPOGO";"1X1-BIGPOGO";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"SS14";"SS14";"DO214";"";"Unavailable";"";" Diode Schottky 40V 1A Surface Mount SMA (DO-214AC) ";"https://snapeda.com/shop?store=DigiKey&id=229686";"";"";"";"ON Semiconductor";"";"";"SS14";"";"";"";"DO-214AC-214 ON Semiconductor";"";"None";"";"";"";"";
"F1";"RUEF300K-2";"RUEF300K-2";"RUEF300K2";"TE CONNECTIVITY / RAYCHEM - RUEF300K-2 - RESETTABLE FUSE, PTC, 30V, 3A, RADIAL";"";"";"TE CONNECTIVITY / RAYCHEM - RUEF300K-2 - RESETTABLE FUSE, PTC, 30V, 3A, RADIAL";"";"16.5mm";"TE CONNECTIVITY / RAYCHEM";"RUEF300K-2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"I2C";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";
"IO5";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"IO15";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"IO26";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"IR1";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IR2";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JM1";"B6B-ZR";"B6B-ZR";"B6B-ZR";"JST-ZH Connector";"Unavailable";"";" Connector Header Surface Mount 6 position 0.059 _1.50mm_ ";"";"";"";"";"JST";"";"";"B6B-ZR";"";"";"";"None";"";"None";"";"";"";"";
"JM2";"B6B-ZR";"B6B-ZR";"B6B-ZR";"JST-ZH Connector";"Unavailable";"";" Connector Header Surface Mount 6 position 0.059 _1.50mm_ ";"";"";"";"";"JST";"";"";"B6B-ZR";"";"";"";"None";"";"None";"";"";"";"";
"L1";"47uH";"SDR0604-100KL";"INDP5858X480N";"Inductor Power Wirewound 120uH 10% 1KHz 22Q-Factor Ferrite 480mA 930mOhm DCR T/R";"Unavailable";"";" 10ÂµH Unshielded Wirewound Inductor Nonstandard ";"";"";"";"";"Bourns";"";"";"SDR0604-100KL";"";"";"";"Nonstandard Bourns";"";"None";"";"";"";"";
"LED1";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED2";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED3";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED4";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED5";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED6";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED7";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED8";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED9";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED10";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PROGRAMMER";"";"PINHD-2X6";"2X06";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"";"";"";"";"";
"Q1";"SS8050";"BC850";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"Q2";"SS8050";"BC850";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"Q3";"TIP122";"TIP122";"TO270P460X1020X2008-3P";"TIP122, Darlington Transistor, NPN 8 A 100 V HFE:1000, 3-Pin, TO-220";"";"";"TIP122, Darlington Transistor, NPN 8 A 100 V HFE:1000, 3-Pin, TO-220";"";"4.6mm";"STMicroelectronics";"TIP122";"";"511-TIP122";"https://www.mouser.com/Search/Refine.aspx?Keyword=511-TIP122";"";"";"";"";"";"";"";"";"";"";"";
"R1";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R2";"47k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R3";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R4";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R5";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R6";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R7";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R8";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R9";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R14";"47";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R15";"47";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R16";"47";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R17";"47";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R18";"47";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R19";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R20";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R21";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R22";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R23";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"RB";"1k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"S1";"2-1437565-9";"2-1437565-9";"SW_2-1437565-9";"";"Unavailable";"2-1437565-9";" Tactile Switch SPST-NO Top Actuated Surface Mount ";"";"";"";"";"TE Connectivity";"";"";"2-1437565-9";"";"";"";"SMD-6 Omron Electronics";"";"None";"";"";"";"";
"STATE";"WS2812B5050";"WS2812B5050";"WS2812B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"CS12ANW03";"CS12ANW03";"CS12ANW03";"";"Unavailable";"";" Slide Switch SPDT Through Hole ";"https://snapeda.com/shop?store=DigiKey&id=478299";"";"";"";"NKK Switches";"";"";"CS12ANW03";"";"";"";"None";"";"None";"";"";"";"";
"T1";"";"CONN_01SPRING-CONN";"SPRING-CONNECTOR";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PRT-11822";"";
"T2";"";"CONN_01SPRING-CONN";"SPRING-CONNECTOR";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PRT-11822";"";
"U1";"ESP32-WROOM-32D";"ESP32-WROOM-32D";"MODULE_ESP32-WROOM-32D";"Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount";"Unavailable";"";" Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount ";"";"";"";"";"Espressif Systems";"";"";"ESP32-WROOM-32D";"";"";"";"Module Espressif Systems";"";"None";"";"";"";"";
"U2";"L293D";"L293D";"DIL16";"PUSH-PULL 4 CHANNEL DRIVER";"";"";"";"";"";"";"";"";"";"";"";"L293D";"9589619";"56P8249";"";"";"";"";"";"";"";
"U3";"AP2112K-3.3";"AP2112K-3.3TRG1";"SOT95P285X140-5N";"AP2112 Series 0.6 A 3.3 V Fixed Output SMT LDO Linear Regulator - SOT23-5";"Unavailable";"";" Linear Voltage Regulator IC 1 Output 600mA SOT-25 ";"";"";"";"";"Diodes Inc.";"";"";"AP2112K-3.3TRG1";"";"";"";"SOT-753 Diodes Inc.";"";"None";"";"";"";"";
"U4";"CE8301";"MCP1702T-3302E/MB";"REG_MCP1702T-3302E/MB";"MCP1702 Series 250 mA 3.3 V Fixed Output Surface Mount LDO Regulator - SOT-89";"Unavailable";"";" Linear Voltage Regulator IC 1 Output 250mA SOT-89-3 ";"";"";"";"";"Microchip";"";"";"MCP1702T-3302E/MB";"";"";"";"SOT-89 Microchip";"";"None";"";"";"";"";
